"activity_period","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","geo_region","geo_summary","landing_aircraft_type","landing_count","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","total_landed_weight"
"200507","Wide Body","Boeing","747","422","Asia","International","Passenger","155","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","97650000"
"200507","Wide Body","Boeing","747","422","Australia / Oceania","International","Passenger","31","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","19530000"
"200507","Wide Body","Boeing","747","422","Europe","International","Passenger","31","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","19530000"
"200507","Narrow Body","Boeing","757",,"US","Domestic","Passenger","1298","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","257004000"
"200507","Narrow Body","Boeing","757",,"Mexico","International","Passenger","5","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","990000"
"200507","Wide Body","Boeing","767","300","US","Domestic","Passenger","173","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","51900000"
"200507","Wide Body","Boeing","767","300","Europe","International","Passenger","31","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","9300000"
"200507","Wide Body","Boeing","767","322","US","Domestic","Passenger","85","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","27200000"
"200507","Wide Body","Boeing","777","222","Asia","International","Passenger","93","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","42780000"
"200507","Wide Body","Boeing","777","222","Europe","International","Passenger","62","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","28520000"
"200507","Wide Body","Boeing","777","222B","US","Domestic","Passenger","61","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","28060000"
"200507","Wide Body","Boeing","777",,"US","Domestic","Passenger","99","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","44055000"
"200507","Narrow Body","Airbus","A319","131","US","Domestic","Passenger","691","United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","95219800"
